ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А43-48051/2017,0,0,1,1,1,1,0,0,6,293,2,0,0,0,1,0,1,0
А33-1323/2018,0,0,0,1,1,1,0,0,16,326,1,0,0,0,1,0,0,0
А65-10455/2018,0,1,0,0,0,0,0,1,8,143,1,1,0,0,0,1,0,50000.00
А15-837/2018,0,0,1,1,1,0,0,0,7,300,2,0,0,0,1,0,1,0
А53-1831/2018,0,0,1,1,1,1,0,1,12,306,2,1,0,0,0,1,1,0
А82-28/2018,0,0,0,1,1,0,0,0,12,303,1,0,0,0,1,0,0,0
А62-10340/2017,0,0,0,1,1,0,0,0,22,178,0,0,0,0,1,0,0,100000.00
А62-9291/2017,0,0,1,1,1,0,0,0,16,206,0,0,0,0,1,0,1,100000.00
А79-14532/2017,0,0,0,1,1,0,1,2,10,428,1,0,1,0,0,1,1,0
А05-3176/2018,0,1,1,1,1,0,0,0,12,300,1,1,0,0,0,1,1,921530.00
А07-28913/2016,0,1,1,1,1,0,0,2,5,553,0,0,0,0,1,0,1,300000.00
А07-37592/17,0,0,1,1,1,1,0,1,37,455,3,1,0,0,0,1,0,0
А09-4678/2018,0,1,1,1,1,0,0,0,11,150,1,1,0,0,0,1,1,100000.00
А07-38895/17,0,0,1,1,1,0,0,1,28,467,3,1,0,0,0,1,0,0
А40-36254/2018,0,0,0,1,1,0,0,3,6,331,1,0,0,0,1,0,0,0
А76-4272/2018,0,1,0,1,1,0,0,1,10,177,1,1,0,0,0,1,0,100000.00
А38-3391/2018,0,1,1,1,1,0,0,2,16,69,0,1,0,0,0,1,1,212701.37
А07-4311/18,0,0,0,1,1,1,0,0,17,203,1,0,0,0,1,0,0,0
А38-2838/2018,0,0,0,0,1,0,0,1,13,80,0,0,1,0,0,1,0,0
А40-46901/18,1,0,0,1,1,0,0,1,9,352,1,1,0,0,0,1,0,0
А40-56341/18,1,1,0,1,1,0,0,2,7,230,1,1,0,0,0,1,0,5535184.02
А69-913/2018,0,0,0,1,1,1,0,2,12,133,1,0,0,1,0,1,0,0
А15-1492/2018,0,1,0,1,1,0,0,1,6,57,0,0,1,0,0,1,0,987905.52
А32-54320/2017,0,1,0,1,1,0,1,2,9,174,0,0,0,0,1,0,0,300000.00
А40-28782/18,0,0,0,1,1,1,0,0,8,404,1,0,0,0,1,0,0,0
А50-31082/2017,0,1,0,1,1,0,0,2,4,344,1,0,0,0,1,0,0,100000.00
А19-2364/2018,0,1,0,0,1,0,0,1,16,139,0,0,0,0,1,0,0,300000.00
А82-23126/2017,0,0,0,1,1,1,0,1,10,344,1,1,0,0,0,1,0,0
